POS|word|tags|TagsMeaning|field2
II|at|Z5 X3.4[i28.2.2 X2.4[i28.2.2 X2.1[i28.2.2|Z5|Grammatical bin
AT1|a|Z5|Z5|Grammatical bin
JJ|gray|O4.3|O4|Physical attributes
JJ|gray|O4.3|O4.1|General appearance and physical properties
JJ|gray|O4.3|O4.2|Judgement of appearance (pretty etc.)
JJ|gray|O4.3|O4.3|Colour and colour patterns
JJ|gray|O4.3|O4.4|Shape
JJ|gray|O4.3|O4.5|Texture
JJ|gray|O4.3|O4.6|Temperature
NN1|cat|L2 M3|L2|Living creatures generally
VVG|walking|M1 L2 X9.2+/A12+|M1|Moving, coming and going
AT1|a|Z5|Z5|Grammatical bin
JJ|gray|O4.3|O4|Physical attributes
JJ|gray|O4.3|O4.1|General appearance and physical properties
JJ|gray|O4.3|O4.2|Judgement of appearance (pretty etc.)
JJ|gray|O4.3|O4.3|Colour and colour patterns
JJ|gray|O4.3|O4.4|Shape
JJ|gray|O4.3|O4.5|Texture
JJ|gray|O4.3|O4.6|Temperature
NN1|fence|H2 G2.1-/S2mf A6.1-|H2|Parts of buildings
II|in|Z5|Z5|Grammatical bin
AT1|a|Z5|Z5|Grammatical bin
JJ|gray|O4.3|O4|Physical attributes
JJ|gray|O4.3|O4.1|General appearance and physical properties
JJ|gray|O4.3|O4.2|Judgement of appearance (pretty etc.)
JJ|gray|O4.3|O4.3|Colour and colour patterns
JJ|gray|O4.3|O4.4|Shape
JJ|gray|O4.3|O4.5|Texture
JJ|gray|O4.3|O4.6|Temperature
NN1|backyard|H3|H3|Areas around or near houses
